transaction_id,amount,customer_age_days,num_previous_orders,transactions_last_10m,shared_device_accounts,address_mismatch,new_device,hour_of_day,is_return
TX0001,9663.52,25,8,0,1,True,False,17,True
TX0002,641.0,223,7,0,1,False,False,17,False
TX0003,4317.22,890,0,1,1,False,False,6,False
TX0004,1572.64,99,11,2,1,False,False,17,False
TX0005,1366.24,300,20,1,2,False,False,1,False
TX0006,14781.28,875,7,2,1,False,False,5,False
TX0007,4151.27,959,20,0,1,False,True,14,False
TX0008,9672.0,570,7,1,2,False,True,1,True
TX0009,1179.59,935,18,2,1,False,False,20,False
TX0010,3850.09,574,17,0,1,False,False,7,False
TX0011,7504.03,773,1,2,1,False,False,19,False
TX0012,14942.6,541,8,3,2,True,False,21,True
TX0013,11575.26,348,3,0,1,True,False,23,False
TX0014,2844.05,934,3,2,1,False,False,4,False
TX0015,14311.8,944,16,2,1,False,True,11,False
TX0016,4751.21,59,7,2,2,True,False,2,False
TX0017,2061.26,675,15,3,1,False,False,6,False
TX0018,10410.04,730,9,0,1,False,False,14,False
TX0019,5203.67,602,17,0,1,True,False,7,True
TX0020,5090.34,526,7,0,1,False,False,18,False
TX0021,7200.0,416,6,0,1,False,False,23,False
TX0022,9763.46,62,12,1,1,True,True,17,True
TX0023,4322.47,255,2,0,2,False,True,17,False
TX0024,13910.23,869,7,0,1,False,False,1,True
TX0025,5978.24,948,14,0,1,False,False,21,False
TX0026,4591.28,991,1,1,1,False,True,18,False
TX0027,8060.67,58,16,0,1,False,False,7,False
TX0028,8631.2,592,19,0,1,False,False,10,True
TX0029,10799.64,244,8,0,1,False,False,2,False
TX0030,8532.31,102,2,0,1,True,False,2,True
TX0031,2534.65,853,17,1,1,False,False,0,False
TX0032,13989.99,106,4,0,2,False,True,9,False
TX0033,3213.24,649,8,0,1,False,True,20,False
TX0034,252.48,789,4,1,1,False,False,13,False
TX0035,14186.75,707,4,0,2,False,True,4,True
TX0036,14009.7,995,1,2,1,False,True,17,True
TX0037,9385.79,158,7,2,3,False,False,0,False
TX0038,11779.32,421,7,0,1,True,False,15,False
TX0039,7012.49,312,7,0,1,False,False,2,False
TX0040,9693.93,409,17,0,1,False,False,18,True
TX0041,1804.36,444,11,1,1,False,False,12,False
TX0042,856.92,446,0,0,1,False,False,23,False
TX0043,1235.61,680,10,1,1,True,False,16,False
TX0044,6155.53,302,17,0,1,False,False,5,False
TX0045,8309.47,0,9,0,1,False,False,14,False
TX0046,7765.38,812,5,1,1,False,False,2,False
TX0047,10157.38,230,6,0,1,False,False,2,False
TX0048,8719.93,735,12,0,1,False,True,3,True
TX0049,12100.83,712,16,0,1,False,True,4,False
TX0050,14820.81,609,10,3,2,False,False,16,False
TX0051,6799.52,162,15,0,1,False,False,16,False
TX0052,6710.11,730,9,0,1,False,True,4,False
TX0053,10655.0,65,13,0,1,False,True,13,False
TX0054,14201.72,20,18,0,1,False,False,13,False
TX0055,12038.05,919,7,0,1,False,False,21,False
TX0056,2642.66,478,4,4,1,False,False,21,False
TX0057,2208.35,472,5,0,1,False,False,12,False
TX0058,6439.16,854,2,0,1,True,False,7,False
TX0059,9845.97,772,0,3,1,True,True,4,True
TX0060,14226.8,476,8,1,1,False,False,3,True
TX0061,4803.38,592,0,3,1,False,False,22,False
TX0062,12492.46,248,3,1,1,False,False,18,False
TX0063,6539.99,379,2,0,1,False,False,3,False
TX0064,13395.31,470,4,0,1,False,False,17,False
TX0065,12420.87,606,8,0,1,False,False,14,False
TX0066,9232.91,388,10,0,2,False,True,8,False
TX0067,10577.52,282,17,0,2,True,False,15,True
TX0068,7246.18,728,15,0,1,False,False,7,False
TX0069,7204.26,543,11,0,1,False,False,8,False
TX0070,10875.01,323,3,1,2,False,True,23,False
TX0071,14653.78,537,19,0,1,False,True,5,False
TX0072,2073.43,46,1,1,1,True,False,15,True
TX0073,4408.22,490,14,0,3,False,False,3,False
TX0074,1296.42,644,1,0,1,False,True,7,False
TX0075,9173.5,809,19,0,1,False,False,18,False
TX0076,9391.2,624,3,3,1,False,False,5,False
TX0077,2516.68,418,14,1,1,True,False,9,False
TX0078,10373.3,946,8,1,1,False,False,13,False
TX0079,2405.04,272,4,0,1,False,False,18,False
TX0080,7136.73,311,12,3,1,False,True,1,False
TX0081,9134.96,26,2,0,1,False,False,0,False
TX0082,4188.76,41,5,0,1,False,True,18,False
TX0083,14542.02,481,11,0,1,True,True,13,True
TX0084,14188.86,833,17,0,1,False,True,12,False
TX0085,217.04,890,17,0,1,False,False,15,False
TX0086,3212.66,562,4,3,1,False,True,20,True
TX0087,2544.0,564,0,1,1,False,False,14,False
TX0088,2478.77,955,9,0,1,False,False,7,False
TX0089,3021.03,613,16,1,1,True,False,13,False
TX0090,4154.16,2,9,1,2,False,False,4,False
TX0091,5120.11,781,17,0,2,False,False,7,False
TX0092,11678.06,44,10,1,1,False,False,21,False
TX0093,2451.16,987,1,0,3,False,True,14,False
TX0094,427.14,147,13,2,3,True,False,8,False
TX0095,9817.58,872,10,2,2,False,False,22,False
TX0096,8207.04,632,2,0,1,False,True,2,True
TX0097,9579.47,893,3,0,1,False,True,1,True
TX0098,2354.43,543,13,1,1,False,True,12,False
TX0099,13709.87,146,7,0,1,False,True,14,False
TX0100,2538.04,452,11,4,1,False,False,14,True
TX0101,5893.46,494,3,0,1,False,False,9,False
TX0102,6057.92,8,18,2,1,False,False,23,False
TX0103,4435.67,818,7,1,1,False,False,21,False
TX0104,10276.66,140,20,0,1,True,False,1,False
TX0105,1533.97,302,10,1,1,True,False,11,False
TX0106,12490.99,263,15,3,1,False,False,14,True
TX0107,14504.2,880,12,3,1,False,False,0,True
TX0108,5655.07,766,8,1,2,False,True,7,False
TX0109,14158.9,335,19,0,1,False,False,9,True
TX0110,871.13,38,9,4,1,False,False,12,False
TX0111,11198.47,968,17,0,1,False,False,3,False
TX0112,14097.99,286,1,1,1,False,True,11,False
TX0113,8258.09,660,11,0,1,False,False,14,False
TX0114,9664.5,994,0,0,1,False,False,6,False
TX0115,3265.93,221,7,0,1,False,True,4,False
TX0116,12018.0,112,0,0,1,False,False,0,True
TX0117,11177.43,538,3,1,1,False,False,3,True
TX0118,9303.58,744,16,0,1,True,False,12,True
TX0119,10743.54,454,2,2,1,True,True,19,True
TX0120,5012.74,611,16,0,1,False,False,3,False
TX0121,11580.65,738,6,0,2,False,False,12,True
TX0122,6516.11,681,8,0,1,False,True,2,True
TX0123,11134.18,831,4,1,1,False,False,3,False
TX0124,14128.72,433,1,3,1,False,False,6,False
TX0125,12739.67,358,17,0,1,False,False,17,False
TX0126,9280.88,658,17,0,2,False,False,5,False
TX0127,13838.76,359,0,0,1,False,True,23,True
TX0128,11242.45,220,12,0,1,False,False,18,False
TX0129,2502.58,772,19,0,1,False,False,19,False
TX0130,11373.16,116,11,0,1,False,False,21,False
TX0131,14769.8,56,0,0,2,False,False,9,True
TX0132,11255.81,179,4,0,1,False,False,11,False
TX0133,826.07,19,14,3,2,False,False,22,True
TX0134,6194.48,989,10,0,2,False,False,11,False
TX0135,3801.08,603,12,0,1,False,False,10,False
TX0136,9571.73,543,16,0,1,False,False,20,True
TX0137,2367.37,202,5,1,1,False,True,20,False
TX0138,11446.18,459,18,1,3,False,False,10,True
TX0139,6744.68,310,8,1,1,True,False,1,False
TX0140,1335.62,884,2,1,1,False,False,23,False
